[6.66542015e-04 2.72535551e-05],[2.72535551e-05 2.37355264e-06]
[1.00000000e-06 -1.76704843e-27],[-1.76704843e-27 1.00000000e-06]
[0.26582443 -0.24264849],[-0.24264849 0.23083436]
[0.00737201 0.01400703],[0.01400703 0.08749079]
[1.61987695 0.54999531],[0.54999531 0.56316817]
[0.57495614 -0.0075624 ],[-0.0075624 0.32640998]
[0.16231529 0.13302661],[0.13302661 0.42645536]
[0.26193154 -0.37425777],[-0.37425777 0.53475681]
[1.00000000e-06 -4.44286462e-26],[-4.44286462e-26 1.00000000e-06]
[2.15987472e-05 -1.43048406e-06],[-1.43048406e-06 1.10784219e-06]
[4.99060471e-05 8.78891282e-05],[8.78891282e-05 1.58945680e-04]
[0.00815691 -0.0153195 ],[-0.0153195 0.04195966]
[1.14741107 2.38532639],[2.38532639 6.16200092]
[5.12642054 0.36684784],[0.36684784 0.55356451]
[0.85457459 1.72512071],[1.72512071 3.67099922]
[4.66300250e-05 5.57794125e-05],[5.57794125e-05 6.91863062e-05]
[1.26601571 -0.48100181],[-0.48100181 2.12567491]
[1.0000000e-06 -2.4233807e-27],[-2.4233807e-27 1.0000000e-06]
[1.00000000e-06 -3.43312266e-26],[-3.43312266e-26 1.00000000e-06]
[0.15984207 -0.1126196 ],[-0.1126196 0.08552395]
[0.37867058 0.36619633],[0.36619633 0.35413495]
[3.755600e-06 -5.835896e-05],[-5.83589600e-05 1.23694434e-03]
[0.52672551 -0.29102036],[-0.29102036 0.22984198]
[1.73337709 -0.84706743],[-0.84706743 0.43926836]
[1.07645057 -0.02120684],[-0.02120684 1.01316644]
[0.067258 -0.13633595],[-0.13633595 0.33379244]
[1.00000000e-06 -4.88715108e-26],[-4.88715108e-26 1.00000000e-06]
[0.56972266 -1.05767068],[-1.05767068 4.11329801]
[7.17829111e-05 6.74998780e-05],[6.7499878e-05 6.5855256e-05]
[0.00054188 0.00023944],[0.00023944 0.000107]
